date,commodity,value
2001-01-01,"Coffee, tea, mate and spices",975
2001-01-01,"Dairy products, eggs, honey, edible animal product nes",32773
2001-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",6687
2001-01-01,Edible vegetables and certain roots and tubers,49248
2001-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",4595
2001-01-01,Meat and edible meat offal,73659
2001-01-01,"Meat, fish and seafood food preparations nes",5046
2001-01-01,"Milling products, malt, starches, inulin, wheat glute",37344
2001-01-01,Miscellaneous edible preparations,9293
2001-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",4308
2001-01-01,Sugars and sugar confectionery,33495
2001-01-01,Tobacco and manufactured tobacco substitutes,1745
2001-01-01,"Vegetable, fruit, nut, etc food preparations",10936
2002-01-01,"Animal,vegetable fats and oils, cleavage products, et",15603
2002-01-01,"Beverages, spirits and vinegar",19029
2002-01-01,"Cereal, flour, starch, milk preparations and products",10399
2002-01-01,Cereals,273291
2002-01-01,Cocoa and cocoa preparations,1229
2002-01-01,"Coffee, tea, mate and spices",598
2002-01-01,"Dairy products, eggs, honey, edible animal product nes",35225
2002-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",8138
2002-01-01,Edible vegetables and certain roots and tubers,52072
2002-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",5790
2002-01-01,Meat and edible meat offal,72944
2002-01-01,"Meat, fish and seafood food preparations nes",4250
2002-01-01,"Milling products, malt, starches, inulin, wheat glute",45135
2002-01-01,Miscellaneous edible preparations,8986
2002-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",6068
2002-01-01,Sugars and sugar confectionery,44462
2002-01-01,Tobacco and manufactured tobacco substitutes,2252
2002-01-01,"Vegetable, fruit, nut, etc food preparations",13773
2003-01-01,"Animal,vegetable fats and oils, cleavage products, et",13310
2003-01-01,"Beverages, spirits and vinegar",18338
2003-01-01,"Cereal, flour, starch, milk preparations and products",10299
2003-01-01,Cereals,310402
2003-01-01,Cocoa and cocoa preparations,1118
2003-01-01,"Coffee, tea, mate and spices",599
2003-01-01,"Dairy products, eggs, honey, edible animal product nes",32701
2003-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",10005
2003-01-01,Edible vegetables and certain roots and tubers,47695
2003-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",4774
2003-01-01,Meat and edible meat offal,68976
2003-01-01,"Meat, fish and seafood food preparations nes",4043
2003-01-01,"Milling products, malt, starches, inulin, wheat glute",33491
2003-01-01,Miscellaneous edible preparations,10244
2003-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",4662
2003-01-01,Sugars and sugar confectionery,41628
2003-01-01,Tobacco and manufactured tobacco substitutes,2131
2003-01-01,"Vegetable, fruit, nut, etc food preparations",12886
2004-01-01,"Animal,vegetable fats and oils, cleavage products, et",15666
2004-01-01,"Beverages, spirits and vinegar",17852
2004-01-01,"Cereal, flour, starch, milk preparations and products",11143
2004-01-01,Cereals,296223
2004-01-01,Cocoa and cocoa preparations,1148
2004-01-01,"Coffee, tea, mate and spices",769
2004-01-01,"Dairy products, eggs, honey, edible animal product nes",38487
2004-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",10652
2004-01-01,Edible vegetables and certain roots and tubers,53044
2004-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",5710
2004-01-01,Meat and edible meat offal,74765
2004-01-01,"Meat, fish and seafood food preparations nes",3776
2004-01-01,"Milling products, malt, starches, inulin, wheat glute",33720
2004-01-01,Miscellaneous edible preparations,11427
2004-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",10576
2004-01-01,Sugars and sugar confectionery,45073
2004-01-01,Tobacco and manufactured tobacco substitutes,2236
2004-01-01,"Vegetable, fruit, nut, etc food preparations",14725
2005-01-01,"Animal,vegetable fats and oils, cleavage products, et",14936
2005-01-01,"Beverages, spirits and vinegar",17671
2005-01-01,"Cereal, flour, starch, milk preparations and products",9711
2005-01-01,Cereals,345271
2005-01-01,Cocoa and cocoa preparations,1261
2005-01-01,"Coffee, tea, mate and spices",828
2005-01-01,"Dairy products, eggs, honey, edible animal product nes",36814
2005-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",11899
2005-01-01,Edible vegetables and certain roots and tubers,51779
2005-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",4601
2005-01-01,Meat and edible meat offal,77571
2005-01-01,"Meat, fish and seafood food preparations nes",4235
2005-01-01,"Milling products, malt, starches, inulin, wheat glute",31933
2005-01-01,Miscellaneous edible preparations,10417
2005-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",4290
2005-01-01,Sugars and sugar confectionery,35234
2005-01-01,Tobacco and manufactured tobacco substitutes,2581
2005-01-01,"Vegetable, fruit, nut, etc food preparations",15657
2006-01-01,"Animal,vegetable fats and oils, cleavage products, et",12294
2006-01-01,"Beverages, spirits and vinegar",20173
2006-01-01,"Cereal, flour, starch, milk preparations and products",10674
2006-01-01,Cereals,349697
2006-01-01,Cocoa and cocoa preparations,1494
2006-01-01,"Coffee, tea, mate and spices",853
2006-01-01,"Dairy products, eggs, honey, edible animal product nes",38417
2006-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",10796
2006-01-01,Edible vegetables and certain roots and tubers,60042
2006-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",3886
2006-01-01,Meat and edible meat offal,77797
2006-01-01,"Meat, fish and seafood food preparations nes",4097
2006-01-01,"Milling products, malt, starches, inulin, wheat glute",25506
2006-01-01,Miscellaneous edible preparations,11705
2006-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",3735
2006-01-01,Sugars and sugar confectionery,33295
2006-01-01,Tobacco and manufactured tobacco substitutes,2375
2006-01-01,"Vegetable, fruit, nut, etc food preparations",15473
2007-01-01,"Animal,vegetable fats and oils, cleavage products, et",13986
2007-01-01,"Beverages, spirits and vinegar",18953
2007-01-01,"Cereal, flour, starch, milk preparations and products",10420
2007-01-01,Cereals,361787
2007-01-01,Cocoa and cocoa preparations,1371
2007-01-01,"Coffee, tea, mate and spices",721
2007-01-01,"Dairy products, eggs, honey, edible animal product nes",43370
2007-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",12521
2007-01-01,Edible vegetables and certain roots and tubers,57475
2007-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",4336
2007-01-01,Meat and edible meat offal,76296
2007-01-01,"Meat, fish and seafood food preparations nes",4206
2007-01-01,"Milling products, malt, starches, inulin, wheat glute",32000
2007-01-01,Miscellaneous edible preparations,9750
2007-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2294
2007-01-01,Sugars and sugar confectionery,36374
2007-01-01,Tobacco and manufactured tobacco substitutes,2181
2007-01-01,"Vegetable, fruit, nut, etc food preparations",16487
2008-01-01,"Animal,vegetable fats and oils, cleavage products, et",16025
2008-01-01,"Beverages, spirits and vinegar",17673
2008-01-01,"Cereal, flour, starch, milk preparations and products",10329
2008-01-01,Cereals,335586
2008-01-01,Cocoa and cocoa preparations,1156
2008-01-01,"Coffee, tea, mate and spices",691
2008-01-01,"Dairy products, eggs, honey, edible animal product nes",44931
2008-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",13458
2008-01-01,Edible vegetables and certain roots and tubers,57268
2008-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",5078
2008-01-01,Meat and edible meat offal,77330
2008-01-01,"Meat, fish and seafood food preparations nes",4343
2008-01-01,"Milling products, malt, starches, inulin, wheat glute",32263
2008-01-01,Miscellaneous edible preparations,9990
2008-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",1198
2008-01-01,Sugars and sugar confectionery,40600
2008-01-01,Tobacco and manufactured tobacco substitutes,2401
2008-01-01,"Vegetable, fruit, nut, etc food preparations",15095
2009-01-01,"Animal,vegetable fats and oils, cleavage products, et",12230
2009-01-01,"Beverages, spirits and vinegar",19208
2009-01-01,"Cereal, flour, starch, milk preparations and products",10337
2009-01-01,Cereals,337891
2009-01-01,Cocoa and cocoa preparations,1014
2009-01-01,"Coffee, tea, mate and spices",623
2009-01-01,"Dairy products, eggs, honey, edible animal product nes",43039
2009-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",13956
2009-01-01,Edible vegetables and certain roots and tubers,55494
2009-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",4974
2009-01-01,Meat and edible meat offal,76647
2009-01-01,"Meat, fish and seafood food preparations nes",4868
2009-01-01,"Milling products, malt, starches, inulin, wheat glute",31731
2009-01-01,Miscellaneous edible preparations,10422
2009-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",1985
2009-01-01,Sugars and sugar confectionery,36187
2009-01-01,Tobacco and manufactured tobacco substitutes,2187
2009-01-01,"Vegetable, fruit, nut, etc food preparations",15244
2010-01-01,"Animal,vegetable fats and oils, cleavage products, et",12522
2010-01-01,"Beverages, spirits and vinegar",19257
2010-01-01,"Cereal, flour, starch, milk preparations and products",10730
2010-01-01,Cereals,413145
2010-01-01,Cocoa and cocoa preparations,1096
2010-01-01,"Coffee, tea, mate and spices",522
2010-01-01,"Dairy products, eggs, honey, edible animal product nes",42810
2010-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",11741
2010-01-01,Edible vegetables and certain roots and tubers,56008
2010-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",4694
2010-01-01,Meat and edible meat offal,68253
2010-01-01,"Meat, fish and seafood food preparations nes",5317
2010-01-01,"Milling products, malt, starches, inulin, wheat glute",34847
2010-01-01,Miscellaneous edible preparations,9133
2010-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",2408
2010-01-01,Sugars and sugar confectionery,37884
2010-01-01,Tobacco and manufactured tobacco substitutes,2232
2010-01-01,"Vegetable, fruit, nut, etc food preparations",16093
2011-01-01,"Animal,vegetable fats and oils, cleavage products, et",14657
2011-01-01,"Beverages, spirits and vinegar",21170
2011-01-01,"Cereal, flour, starch, milk preparations and products",11848
2011-01-01,Cereals,424169
2011-01-01,Cocoa and cocoa preparations,1008
2011-01-01,"Coffee, tea, mate and spices",757
2011-01-01,"Dairy products, eggs, honey, edible animal product nes",44991
2011-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",13034
2011-01-01,Edible vegetables and certain roots and tubers,57683
2011-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",5015
2011-01-01,Meat and edible meat offal,74512
2011-01-01,"Meat, fish and seafood food preparations nes",5928
2011-01-01,"Milling products, malt, starches, inulin, wheat glute",40666
2011-01-01,Miscellaneous edible preparations,8853
2011-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",4858
2011-01-01,Sugars and sugar confectionery,36047
2011-01-01,Tobacco and manufactured tobacco substitutes,2969
2011-01-01,"Vegetable, fruit, nut, etc food preparations",15913
2012-01-01,"Animal,vegetable fats and oils, cleavage products, et",20373
2012-01-01,"Beverages, spirits and vinegar",17822
2012-01-01,"Cereal, flour, starch, milk preparations and products",10947
2012-01-01,Cereals,421948
2012-01-01,Cocoa and cocoa preparations,1171
2012-01-01,"Coffee, tea, mate and spices",629
2012-01-01,"Dairy products, eggs, honey, edible animal product nes",45695
2012-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",14837
2012-01-01,Edible vegetables and certain roots and tubers,64651
2012-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",3769
2012-01-01,Meat and edible meat offal,85331
2012-01-01,"Meat, fish and seafood food preparations nes",6905
2012-01-01,"Milling products, malt, starches, inulin, wheat glute",36573
2012-01-01,Miscellaneous edible preparations,9064
2012-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",1568
2012-01-01,Sugars and sugar confectionery,29254
2012-01-01,Tobacco and manufactured tobacco substitutes,1203
2012-01-01,"Vegetable, fruit, nut, etc food preparations",14844
2013-01-01,"Animal,vegetable fats and oils, cleavage products, et",14123
2013-01-01,"Beverages, spirits and vinegar",15857
2013-01-01,"Cereal, flour, starch, milk preparations and products",10730
2013-01-01,Cereals,429052
2013-01-01,Cocoa and cocoa preparations,1057
2013-01-01,"Coffee, tea, mate and spices",654
2013-01-01,"Dairy products, eggs, honey, edible animal product nes",43186
2013-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",17506
2013-01-01,Edible vegetables and certain roots and tubers,69232
2013-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",3511
2013-01-01,Meat and edible meat offal,86376
2013-01-01,"Meat, fish and seafood food preparations nes",6791
2013-01-01,"Milling products, malt, starches, inulin, wheat glute",31722
2013-01-01,Miscellaneous edible preparations,9390
2013-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",1914
2013-01-01,Sugars and sugar confectionery,27484
2013-01-01,Tobacco and manufactured tobacco substitutes,458
2013-01-01,"Vegetable, fruit, nut, etc food preparations",16270
2014-01-01,"Animal,vegetable fats and oils, cleavage products, et",13141
2014-01-01,"Beverages, spirits and vinegar",18081
2014-01-01,"Cereal, flour, starch, milk preparations and products",11409
2014-01-01,Cereals,481341
2014-01-01,Cocoa and cocoa preparations,908
2014-01-01,"Coffee, tea, mate and spices",663
2014-01-01,"Dairy products, eggs, honey, edible animal product nes",44794
2014-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",15277
2014-01-01,Edible vegetables and certain roots and tubers,65463
2014-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",3095
2014-01-01,Meat and edible meat offal,82479
2014-01-01,"Meat, fish and seafood food preparations nes",6521
2014-01-01,"Milling products, malt, starches, inulin, wheat glute",33876
2014-01-01,Miscellaneous edible preparations,11536
2014-01-01,"Oil seed, oleagic fruits, grain, seed, fruit, etc, ne",1337
2014-01-01,Sugars and sugar confectionery,27202
2014-01-01,Tobacco and manufactured tobacco substitutes,461
2014-01-01,"Vegetable, fruit, nut, etc food preparations",12155
2015-01-01,"Animal,vegetable fats and oils, cleavage products, et",10634
2015-01-01,"Beverages, spirits and vinegar",18505
2015-01-01,"Cereal, flour, starch, milk preparations and products",10964
2015-01-01,Cereals,455667
2015-01-01,Cocoa and cocoa preparations,1029
2015-01-01,"Coffee, tea, mate and spices",804
2015-01-01,"Dairy products, eggs, honey, edible animal product nes",47266
2015-01-01,"Edible fruit, nuts, peel of citrus fruit, melons",16088
2015-01-01,Edible vegetables and certain roots and tubers,62301
2015-01-01,"Fish, crustaceans, molluscs, aquatic invertebrates ne",3668
2015-01-01,Meat and edible meat offal,82612
2015-01-01,"Meat, fish and seafood food preparations nes",4769
2015-01-01,"Milling products, malt, starches, inulin, wheat glute",26172
2015-01-01,Miscellaneous edible preparations,12115
