DATAFLOW,FREQ: Frequency,INDICATOR: Indicator,IMPORTER: Importer,EXPORTER: Exporter,COMMODITY: Commodity,TIME_PERIOD: Time,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",1995,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",1996,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",1997,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",1999,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2001,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2002,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2003,1,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2004,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2005,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2006,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2007,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2008,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,MH: Marshall Islands,AU_NZ: Australia and New Zealand,"09: Coffee, tea, mate and spices",2016,0,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TO: Tonga,AU_NZ: Australia and New Zealand,24: Tobacco and manufactured tobacco substitutes,1995,78,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TO: Tonga,AU_NZ: Australia and New Zealand,24: Tobacco and manufactured tobacco substitutes,1996,94,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TO: Tonga,AU_NZ: Australia and New Zealand,24: Tobacco and manufactured tobacco substitutes,1997,107,TON: tonnes,,,,
SPC:DF_TRADE_FOOD(1.0),A: Annual,Q: Quantity,TO: Tonga,AU_NZ: Australia and New Zealand,24: Tobacco and manufactured tobacco substitutes,1998,146,TON: tonnes,,,,
